,index,title,author,year,title_authors
250,250,Science and Engineering Programs for the Macintosh,Cass Lewart,1986,Science and Engineering Programs for the MacintoshCass Lewart
251,251,Netzwerke Fur Dummies (Fur Dummies S.),D. Lowe,2005,Netzwerke Fur Dummies (Fur Dummies S.)D. Lowe
252,252,"A+ Practice Questions Exam Cram (Exams 220-401, 220-402) (2nd Edition) (Exam Cram 2)",Charles J. Brooks,2007,"A+ Practice Questions Exam Cram (Exams 220-401, 220-402) (2nd Edition) (Exam Cram 2)Charles J. Brooks"
253,253,"Advances in Knowledge Discovery and Data Mining: 8th Pacific-Asia Conference, PAKDD 2004, Sydney, Australia, May 26-28, 2004, Proceedings (Lecture Notes ... / Lecture Notes in Artificial Intelligence)","Honghua Dai,Ramakrishnan Srikant,Chengqi Zhang",2004,"Advances in Knowledge Discovery and Data Mining: 8th Pacific-Asia Conference, PAKDD 2004, Sydney, Australia, May 26-28, 2004, Proceedings (Lecture Notes ... / Lecture Notes in Artificial Intelligence)Honghua Dai,Ramakrishnan Srikant,Chengqi Zhang"
254,254,"Design to Sell: Use Microsoft Publisher to Plan, Write and Design Great Marketing Pieces (Bpg-Other)",Roger C. Parker,2006,"Design to Sell: Use Microsoft Publisher to Plan, Write and Design Great Marketing Pieces (Bpg-Other)Roger C. Parker"
255,255,Military applications: military aerospace application,,2006,
256,256,Discrete-event simulation of queues with spreadsheets: a teaching case,"Marco Aurélio de Mesquita,Alvaro Euzebio Hernandez",2006,"Discrete-event simulation of queues with spreadsheets: a teaching caseMarco Aurélio de Mesquita,Alvaro Euzebio Hernandez"
257,257,Security and Protection in Information Processing Systems (IFIP International Federation for Information Processing),"Yves Deswarte,Frederic Cuppens,Sushil Jajodia,Lingyu Wang",2004,"Security and Protection in Information Processing Systems (IFIP International Federation for Information Processing)Yves Deswarte,Frederic Cuppens,Sushil Jajodia,Lingyu Wang"
258,258,A new class of coherent risk measures based on p-norms and their applications: Research Articles,"Zhiping Chen,Yi Wang",2007,"A new class of coherent risk measures based on p-norms and their applications: Research ArticlesZhiping Chen,Yi Wang"
259,259,Efficient approximate planning in continuous space Markovian Decision Problems,Csaba Szepesvári,2001,Efficient approximate planning in continuous space Markovian Decision ProblemsCsaba Szepesvári
260,260,Programming in Visual Basic.Net,Julia Case Bradley,2006,Programming in Visual Basic.NetJulia Case Bradley
261,261,Secrets For Selling On Ebay For Big Profits,Sydney Johnston,2006,Secrets For Selling On Ebay For Big ProfitsSydney Johnston
262,262,Thief Gold: Prima's Official Strategy Guide,Michael Patrick Brown,1999,Thief Gold: Prima's Official Strategy GuideMichael Patrick Brown
263,263,Expertise Out of Context: Proceedings of the Sixth International Conference on Naturalistic Decision Making (Expertise: Research and Applications Series),Robert R. Hoffman,2007,Expertise Out of Context: Proceedings of the Sixth International Conference on Naturalistic Decision Making (Expertise: Research and Applications Series)Robert R. Hoffman
264,264,PHP e MySQL: Desenvolvimento Web,"Luke Welling,Laura Thomson",2005,"PHP e MySQL: Desenvolvimento WebLuke Welling,Laura Thomson"
265,265,Dreamweaver 8: The Missing Manual,David Sawyer McFarland,2005,Dreamweaver 8: The Missing ManualDavid Sawyer McFarland
266,266,An exploration of the categories associated with ICT project sustainability in rural areas of developing countries: a case study of the Dwesa project,"Caroline I. Pade,Brenda Mallinson,David Sewry",2006,"An exploration of the categories associated with ICT project sustainability in rural areas of developing countries: a case study of the Dwesa projectCaroline I. Pade,Brenda Mallinson,David Sewry"
267,267,MRP Rescheduling heuristics with capacity extension under deterministic demand,"Chao Rong,Katsuhiko Takahashi,Katsumi Morikawa",2006,"MRP Rescheduling heuristics with capacity extension under deterministic demandChao Rong,Katsuhiko Takahashi,Katsumi Morikawa"
268,268,Computer Simulations in Condensed Matter Systems: From Materials to Chemical Biology. Volume 2 (Lecture Notes in Physics),"Mauro Ferrario,Giovanni Ciccotti,Kurt Binder",2006,"Computer Simulations in Condensed Matter Systems: From Materials to Chemical Biology. Volume 2 (Lecture Notes in Physics)Mauro Ferrario,Giovanni Ciccotti,Kurt Binder"
269,269,Congo for Macintosh,,1995,
270,270,Digital Signal and Image Processing Using MATLAB (Digital Signal and Image Processing series),"Gerard Blanchet,Maurice Charbit",2006,"Digital Signal and Image Processing Using MATLAB (Digital Signal and Image Processing series)Gerard Blanchet,Maurice Charbit"
271,271,Fotografia Digital Avanzada/ Perfect Digital Photography (Diseno Y Creatividad / Design and Creativity),"Jay Kinghorn,Jay Dickman",2006,"Fotografia Digital Avanzada/ Perfect Digital Photography (Diseno Y Creatividad / Design and Creativity)Jay Kinghorn,Jay Dickman"
272,272,Official QuarkXPress Handbook (Macintosh 3.3 ed): Mac 3.3 ed,Diane Burns,1994,Official QuarkXPress Handbook (Macintosh 3.3 ed): Mac 3.3 edDiane Burns
273,273,"Wiley Cpa Examination Review Practice Software 8.0: Complete Exam : Accounting and Reporting, Auditing, Business Law and Professional Responsibilities, Financial Accounting and Reporting","Patrick R. Delaney,O. Ray Whittington",2003,"Wiley Cpa Examination Review Practice Software 8.0: Complete Exam : Accounting and Reporting, Auditing, Business Law and Professional Responsibilities, Financial Accounting and ReportingPatrick R. Delaney,O. Ray Whittington"
274,274,Large area micro hot embossing of Pyrex glass with GC mold machined by dicing,"Masaharu Takahashi,Yoichi Murakoshi,Ryutaro Maeda,Kohei Hasegawa",2006,"Large area micro hot embossing of Pyrex glass with GC mold machined by dicingMasaharu Takahashi,Yoichi Murakoshi,Ryutaro Maeda,Kohei Hasegawa"
275,275,A hybrid approach for fabrication of polymeric BIOMEMS devices,"Varshni Singh,Yohannes Desta,Proyag Datta,Jason Guy,Mark Clarke,Daniel L. Feedback,J. Weimert,Jost Goettert",2006,"A hybrid approach for fabrication of polymeric BIOMEMS devicesVarshni Singh,Yohannes Desta,Proyag Datta,Jason Guy,Mark Clarke,Daniel L. Feedback,J. Weimert,Jost Goettert"
276,276,Basics Design: Print and Finish (Basics Design),"Gavin Ambrose,Paul Harris",2006,"Basics Design: Print and Finish (Basics Design)Gavin Ambrose,Paul Harris"
277,277,If Elephants Wore Trousers,"Henriette Barkow,Richard Johnson",2005,"If Elephants Wore TrousersHenriette Barkow,Richard Johnson"
278,278,Agency and the Semantic Web,Christopher Walton,2006,Agency and the Semantic WebChristopher Walton
279,279,The Essential Online Solution: The 5-Step Formula for Small Business Success,"Rick Segel,Barbara Callan-Bogia",2006,"The Essential Online Solution: The 5-Step Formula for Small Business SuccessRick Segel,Barbara Callan-Bogia"
280,280,"Handbook of Image and Video Processing (Communications, Networking and Multimedia)",Alan C. Bovik,2005,"Handbook of Image and Video Processing (Communications, Networking and Multimedia)Alan C. Bovik"
281,281,Star Wars Battlefront II (Prima Official Game Guide),Michael Knight,2005,Star Wars Battlefront II (Prima Official Game Guide)Michael Knight
282,282,Protected systems in general systems theory,A. A. Ponomaryov,2006,Protected systems in general systems theoryA. A. Ponomaryov
283,283,Using Xml: A How-to-do-it Manual for Librarians,Kwong B. Ng,2007,Using Xml: A How-to-do-it Manual for LibrariansKwong B. Ng
284,284,Apple Computer Resources in Special Education and Rehabilitation,,1987,
285,285,Introduction to Computational Science: Modeling and Simulation for the Sciences,Angela B. Shiflet,2006,Introduction to Computational Science: Modeling and Simulation for the SciencesAngela B. Shiflet
286,286,PCs in Easy Steps (In Easy Steps),Harshad Kotecha,2005,PCs in Easy Steps (In Easy Steps)Harshad Kotecha
287,287,The Complete Guide to Flex 2 with ActionScript 3.0,Charles E. Brown,2007,The Complete Guide to Flex 2 with ActionScript 3.0Charles E. Brown
288,288,Advanced Visual Basic.NET: Programming Web and Desktop Applications in ADO.NET and ASP.NET,"David Gefen,Chittibabu Govindarajulu",2003,"Advanced Visual Basic.NET: Programming Web and Desktop Applications in ADO.NET and ASP.NETDavid Gefen,Chittibabu Govindarajulu"
289,289,Performance Evaluation of Packet Processing Architectures Using Multiclass Queuing Networks,"Soren Sonntag,Matthias Gries,Christian Sauer",2006,"Performance Evaluation of Packet Processing Architectures Using Multiclass Queuing NetworksSoren Sonntag,Matthias Gries,Christian Sauer"
290,290,Authenticating mobile phone users using keystroke analysis,"N. L. Clarke,S. M. Furnell",2006,"Authenticating mobile phone users using keystroke analysisN. L. Clarke,S. M. Furnell"
291,291,Introduction to SQL: Mastering the Relational Database Language (4th Edition),Rick F. van der Lans,2006,Introduction to SQL: Mastering the Relational Database Language (4th Edition)Rick F. van der Lans
292,292,LabSim For A+ Core Hardware,,2005,
293,293,Rise of Nations: Rise of Legends (Prima Official Game Guide),Michael Knight,2006,Rise of Nations: Rise of Legends (Prima Official Game Guide)Michael Knight
294,294,The iPod Book: Doing Cool Stuff with the iPod and the iTunes Music Store,Scott Kelby,2005,The iPod Book: Doing Cool Stuff with the iPod and the iTunes Music StoreScott Kelby
295,295,Hangin' With the Hombeez: Goldstinger (Hangin' with the Hombeez),"Dann Gershon,David Robinson",1999,"Hangin' With the Hombeez: Goldstinger (Hangin' with the Hombeez)Dann Gershon,David Robinson"
296,296,Analysis of affect expressed through the evolving language of online communication,"Alena Neviarouskaya,Helmut Prendinger,Mitsuru Ishizuka",2007,"Analysis of affect expressed through the evolving language of online communicationAlena Neviarouskaya,Helmut Prendinger,Mitsuru Ishizuka"
297,297,Dragon Ball Z: The Legacy of Goku II (Prima's Official Strategy Guide),Eric Mylonas,2003,Dragon Ball Z: The Legacy of Goku II (Prima's Official Strategy Guide)Eric Mylonas
298,298,Module-based modeling of production-distribution systems considering shipment consolidation,"Xiaohua Wang,Soemon Takakuwa",2006,"Module-based modeling of production-distribution systems considering shipment consolidationXiaohua Wang,Soemon Takakuwa"
299,299,A New Scheme to Realize the Optimum Watermark Detection for the Additive Embedding Scheme with the Spatial Domain,"Takaaki Fujita,Maki Yoshida,Toru Fujiwara",2007,"A New Scheme to Realize the Optimum Watermark Detection for the Additive Embedding Scheme with the Spatial DomainTakaaki Fujita,Maki Yoshida,Toru Fujiwara"
300,300,Dynamic HTML: The Definitive Reference (Dynamic Html),Danny Goodman,2006,Dynamic HTML: The Definitive Reference (Dynamic Html)Danny Goodman
301,301,Large triangles in the d-dimensional unit cube,Hanno Lefmann,2006,Large triangles in the d-dimensional unit cubeHanno Lefmann
302,302,Linear work suffix array construction,"Juha Kärkkäinen,Peter Sanders,Stefan Burkhardt",2006,"Linear work suffix array constructionJuha Kärkkäinen,Peter Sanders,Stefan Burkhardt"
303,303,Battlefield 2142 (Prima Official Game Guide),David Knight,2006,Battlefield 2142 (Prima Official Game Guide)David Knight
304,304,Visual Basic Game Programming For Teens,Jonathan S. Harbour,2004,Visual Basic Game Programming For TeensJonathan S. Harbour
305,305,EXPINT---A MATLAB package for exponential integrators,"Håvard Berland,Bård Skaflestad,Will M. Wright",2007,"EXPINT---A MATLAB package for exponential integratorsHåvard Berland,Bård Skaflestad,Will M. Wright"
306,306,The Complete Guide to Digital Imaging,Joel Lacey,2002,The Complete Guide to Digital ImagingJoel Lacey
307,307,Federal Income Tax: An Interactive Transactional Approach,"Toni Robinson,Mary Ferrari",2006,"Federal Income Tax: An Interactive Transactional ApproachToni Robinson,Mary Ferrari"
308,308,Build Your Own Standards Compliant Website Using Dreamweaver 8 (Build Your Own),Rachel Andrew,2005,Build Your Own Standards Compliant Website Using Dreamweaver 8 (Build Your Own)Rachel Andrew
309,309,Game Console Hacking: Having Fun While Voiding Your Warranty,"Joe Grand,Albert Yarusso,Ralph H. Baer,Marcus R. Brown,Frank Thornton",2004,"Game Console Hacking: Having Fun While Voiding Your WarrantyJoe Grand,Albert Yarusso,Ralph H. Baer,Marcus R. Brown,Frank Thornton"
310,310,The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,Robert W. Harris,2007,The Elements of Visual Style: The Basics of Print Design for Every PC and Mac UserRobert W. Harris
311,311,Tall Order! Seven Master Strategies to Organize Your Life and Double Your Success in Half the Time,Honorée Corpron,2006,Tall Order! Seven Master Strategies to Organize Your Life and Double Your Success in Half the TimeHonorée Corpron
312,312,ActionScript 2.0 Language Reference for Macromedia Flash 8,"Francis Cheng,Jen deHaan,Robert L. Dixon,Shimul Rahim",2005,"ActionScript 2.0 Language Reference for Macromedia Flash 8Francis Cheng,Jen deHaan,Robert L. Dixon,Shimul Rahim"
313,313,Macintosh System 7.5 for Dummies Quick Reference,Stuart J. Stuple,1994,Macintosh System 7.5 for Dummies Quick ReferenceStuart J. Stuple
314,314,Hacking iSeries,Shalom Carmel,2006,Hacking iSeriesShalom Carmel
315,315,An Identity-Based Key Management Framework for Personal Networks,"Khaled Masmoudi,Hossam Afifi",2007,"An Identity-Based Key Management Framework for Personal NetworksKhaled Masmoudi,Hossam Afifi"
316,316,Applications in Macintosh (AIM),Alan L. Eliason,1994,Applications in Macintosh (AIM)Alan L. Eliason
317,317,"Entertainment Computing - ICEC 2005: 4th International Conference, Sanda, Japan, September 19-21, 2005, Proceedings (Lecture Notes in Computer Science)","Fumio Kishino,Yoshifumi Kitamura,Hirokazu Kato,Noriko Nagata",2005,"Entertainment Computing - ICEC 2005: 4th International Conference, Sanda, Japan, September 19-21, 2005, Proceedings (Lecture Notes in Computer Science)Fumio Kishino,Yoshifumi Kitamura,Hirokazu Kato,Noriko Nagata"
318,318,Stochastic Analysis of Scale-Space Smoothing,"K. Astrom,A. Heyden",1996,"Stochastic Analysis of Scale-Space SmoothingK. Astrom,A. Heyden"
319,319,Facility Planning,Jeffrey E. Clark,2007,Facility PlanningJeffrey E. Clark
320,320,"Data Communications and Network Security, 1 edition","Houston H. Carr,Charles Snyder",2006,"Data Communications and Network Security, 1 editionHouston H. Carr,Charles Snyder"
321,321,"Virtual Worlds of Precision: Computer-based Simulations in the Sciences and Social Sciences Methods, Vol. 1 (Methoden)","Valerie Feldmann,Katrin Muhlfeld",2006,"Virtual Worlds of Precision: Computer-based Simulations in the Sciences and Social Sciences Methods, Vol. 1 (Methoden)Valerie Feldmann,Katrin Muhlfeld"
322,322,Object-Oriented Design with UML and Java,"Kenneth Barclay,John Savage",2003,"Object-Oriented Design with UML and JavaKenneth Barclay,John Savage"
323,323,Towards a New Evolutionary Computation: Advances on Estimation of Distribution Algorithms (Studies in Fuzziness and Soft Computing),"Jose A. Lozano,Pedro Larrañaga,Iñaki Inza,Endika Bengoetxea",2006,"Towards a New Evolutionary Computation: Advances on Estimation of Distribution Algorithms (Studies in Fuzziness and Soft Computing)Jose A. Lozano,Pedro Larrañaga,Iñaki Inza,Endika Bengoetxea"
324,324,The AMA Handbook of Project Management,"Paul C. Dinsmore,Jeannette Cabanis-Brewin",2005,"The AMA Handbook of Project ManagementPaul C. Dinsmore,Jeannette Cabanis-Brewin"
325,325,"A Guide To Web Development Using Macromedia Dreamweaver MX 2004: With Firework, Flash, and Coldfusion","Elaine Malfas,Beth Brown,Jan Marrelli",2005,"A Guide To Web Development Using Macromedia Dreamweaver MX 2004: With Firework, Flash, and ColdfusionElaine Malfas,Beth Brown,Jan Marrelli"
326,326,High-Performance Energy-Efficient Microprocessor Design (Series on Integrated Circuits and Systems),"Vojin G. Oklobdzija,Ram K. Krishnamurthy",2006,"High-Performance Energy-Efficient Microprocessor Design (Series on Integrated Circuits and Systems)Vojin G. Oklobdzija,Ram K. Krishnamurthy"
327,327,I5/Os V5r4 Virtual Tape: A Guide to Planning And Implementation,,2006,
328,328,Exploring Microsoft Office 2003 Enhanced Edition (Grauer Exploring Office 2003 Series),"Robert T. Grauer,Maryann Barber",2006,"Exploring Microsoft Office 2003 Enhanced Edition (Grauer Exploring Office 2003 Series)Robert T. Grauer,Maryann Barber"
329,329,METRIC: Memory tracing via dynamic binary rewriting to identify cache inefficiencies,"Jaydeep Marathe,Frank Mueller,Tushar Mohan,Sally A. Mckee,Bronis R. De Supinski,Andy Yoo",2007,"METRIC: Memory tracing via dynamic binary rewriting to identify cache inefficienciesJaydeep Marathe,Frank Mueller,Tushar Mohan,Sally A. Mckee,Bronis R. De Supinski,Andy Yoo"
330,330,Accelerated VB 2005,"Guy Fouché,Trey Nash",2007,"Accelerated VB 2005Guy Fouché,Trey Nash"
331,331,Exercise Workbook for Advanced Autocad 2006: 180-day Learning Bundle Edition,Cheryl R. Shrock,2006,Exercise Workbook for Advanced Autocad 2006: 180-day Learning Bundle EditionCheryl R. Shrock
332,332,Essential Renderman,Ian Stephenson,2007,Essential RendermanIan Stephenson
333,333,Visual FoxPro 6 Guia Practica,Ramon M. Chorda,2005,Visual FoxPro 6 Guia PracticaRamon M. Chorda
334,334,Provision of agent-based health care services,"Antonio Moreno,David Isern,David Sánchez",2003,"Provision of agent-based health care servicesAntonio Moreno,David Isern,David Sánchez"
335,335,Silver Surfers' Color Guide to the Internet,Helen Brookes,2006,Silver Surfers' Color Guide to the InternetHelen Brookes
336,336,Computational systems biology: keynote I: software in systems biology,,2006,
337,337,Master Ms Word 4.0,Pamela S. Beason,1989,Master Ms Word 4.0Pamela S. Beason
338,338,"Connected, or What It Means to Live in the Network Society",Steven Shaviro,2003,"Connected, or What It Means to Live in the Network SocietySteven Shaviro"
339,339,"Implementing Database Security and Auditing: Includes Examples for Oracle, SQL Server, DB2 UDB, Sybase",Ron Ben Natan,2005,"Implementing Database Security and Auditing: Includes Examples for Oracle, SQL Server, DB2 UDB, SybaseRon Ben Natan"
340,340,Macintosh Fx: Tools and Techniques for Outrageous Graphic Effects,David D. Busch,1994,Macintosh Fx: Tools and Techniques for Outrageous Graphic EffectsDavid D. Busch
341,341,Index It Right!: Advice from the Experts,Enid L. Zafran,2005,Index It Right!: Advice from the ExpertsEnid L. Zafran
342,342,"Optimization in Public Transportation: Stop Location, Delay Management and Tariff Zone Design in a Public Transportation Network (Springer Optimization and Its Applications)",Anita Schöbel,2006,"Optimization in Public Transportation: Stop Location, Delay Management and Tariff Zone Design in a Public Transportation Network (Springer Optimization and Its Applications)Anita Schöbel"
343,343,The CodeFez Guide to SQL Server Reporting Services,Mike Welch,2005,The CodeFez Guide to SQL Server Reporting ServicesMike Welch
344,344,PowerPoint 2003: Top 100 Simplified Tips & Tricks (Top 100 Simplified Tips & Tricks),Nancy Buchanan,2005,PowerPoint 2003: Top 100 Simplified Tips & Tricks (Top 100 Simplified Tips & Tricks)Nancy Buchanan
345,345,Finite horizon analysis of Markov Chains with the Mur&#x03d5; verifier,"Giuseppe Della Penna,Benedetto Intrigila,Igor Melatti,Enrico Tronci,Marisa Venturini Zilli",2006,"Finite horizon analysis of Markov Chains with the Mur&#x03d5; verifierGiuseppe Della Penna,Benedetto Intrigila,Igor Melatti,Enrico Tronci,Marisa Venturini Zilli"
346,346,Sequence-driven features for prediction of subcellular localization of proteins,"Jong Kyoung Kim,Sung-Yang Bang,Seungjin Choi",2006,"Sequence-driven features for prediction of subcellular localization of proteinsJong Kyoung Kim,Sung-Yang Bang,Seungjin Choi"
347,347,Calendar,Staff,2001,CalendarStaff
348,348,Access 2003 Personal Trainer (Personal Trainer (O'Reilly)),,2005,
349,349,Modeling centralized organization of organizational change,"Mark Hoogendoorn,Catholijn M. Jonker,Martijn C. Schut,Jan Treur",2007,"Modeling centralized organization of organizational changeMark Hoogendoorn,Catholijn M. Jonker,Martijn C. Schut,Jan Treur"
350,350,Macromedia Director 5 VTC Training CD,,1996,
351,351,PHP-Nuke - Mastering Internet Content Management: From Start to Optimised Use - With a Complete and Quick Reference of Internal Functions,Jens Ferner,2006,PHP-Nuke - Mastering Internet Content Management: From Start to Optimised Use - With a Complete and Quick Reference of Internal FunctionsJens Ferner
352,352,Learning MySQL,"Seyed M. M. Tahaghoghi,Hugh Williams",2006,"Learning MySQLSeyed M. M. Tahaghoghi,Hugh Williams"
353,353,Best Career And Education Web Sites: A Quick Guide to Online Job Search (Best Career & Education Websites),Anne Wolfinger,2006,Best Career And Education Web Sites: A Quick Guide to Online Job Search (Best Career & Education Websites)Anne Wolfinger
354,354,And Your Point Is?,J. Douglas Jefferys,2006,And Your Point Is?J. Douglas Jefferys
355,355,ONCOR: ontology- and evidence-based context reasoner,"Judy Kay,William T. Niu,David J. Carmichael",2007,"ONCOR: ontology- and evidence-based context reasonerJudy Kay,William T. Niu,David J. Carmichael"
356,356,Path-based control of smoke simulations,"Yootai Kim,Raghu Machiraju,David Thompson",2006,"Path-based control of smoke simulationsYootai Kim,Raghu Machiraju,David Thompson"
357,357,Interoperability of Enterprise Software and Applications,"Dimitri Konstantas,Jean-Paul Bourrières,Michel Léonard,Nacer Boudjlida",2005,"Interoperability of Enterprise Software and ApplicationsDimitri Konstantas,Jean-Paul Bourrières,Michel Léonard,Nacer Boudjlida"
358,358,"CourseGuide: Microsoft Office Word 2003 Illustrated, INTERMEDIATE","Jennifer Duffy,Carol M. Cram",2004,"CourseGuide: Microsoft Office Word 2003 Illustrated, INTERMEDIATEJennifer Duffy,Carol M. Cram"
359,359,"High-Speed Networks and Multimedia Communications: 6th IEEE International Conference HSNMC 2003, Estoril, Portugal, July 23-25, 2003, Proceedings (Lecture Notes in Computer Science)","Mário Marques Freire,Pascal Lorenz,Mike Myung-Ok Lee",2003,"High-Speed Networks and Multimedia Communications: 6th IEEE International Conference HSNMC 2003, Estoril, Portugal, July 23-25, 2003, Proceedings (Lecture Notes in Computer Science)Mário Marques Freire,Pascal Lorenz,Mike Myung-Ok Lee"
360,360,Superpad 64 Gold,,2000,
361,361,Mega Man ZX Official Strategy Guide (Official Strategy Guides (Bradygames)),,2006,
362,362,Let Us C Solutions,Yashavant P. Kanetkar,2004,Let Us C SolutionsYashavant P. Kanetkar
363,363,Breath of Fire: Dragon Quarter Official Strategy Guide,Casey Loe,2003,Breath of Fire: Dragon Quarter Official Strategy GuideCasey Loe
364,364,Editorial board and publication information,,2006,
365,365,"VLSI-SOC: From Systems to Chips: IFIP TC 10/WG 10.5, Twelfth International Conference on Very Large Scale Ingegration of System on Chip (VLSI-SoC 2003), ... Federation for Information Processing)","Manfred Glesner,Ricardo Reis,Leandro Indrusiak,Vincent Mooney,Hans Eveking",2006,"VLSI-SOC: From Systems to Chips: IFIP TC 10/WG 10.5, Twelfth International Conference on Very Large Scale Ingegration of System on Chip (VLSI-SoC 2003), ... Federation for Information Processing)Manfred Glesner,Ricardo Reis,Leandro Indrusiak,Vincent Mooney,Hans Eveking"
366,366,Duke Nukem Zero Hour: Official Strategy Guide,"Duke Nukem,Phillip Marcus",1999,"Duke Nukem Zero Hour: Official Strategy GuideDuke Nukem,Phillip Marcus"
367,367,Excel 2007 Data Analysis For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,2007,Excel 2007 Data Analysis For Dummies (For Dummies (Computer/Tech))Stephen L. Nelson
368,368,The Washingtonienne: A Novel,Jessica Cutler,2006,The Washingtonienne: A NovelJessica Cutler
369,369,Microsoft Office v.X Macintosh BASICS (Basics),"Laura Melton,Dawna Walls",2002,"Microsoft Office v.X Macintosh BASICS (Basics)Laura Melton,Dawna Walls"
370,370,Pro Tools 101 Official Courseware,,2006,
371,371,Migrating to Websphere Message Broker Version 6.0,,2006,
372,372,"8051 Microcontroller and Embedded Systems, The (2nd Edition)","Muhammad Ali Mazidi,Janice Mazidi,Rolin McKinlay",2005,"8051 Microcontroller and Embedded Systems, The (2nd Edition)Muhammad Ali Mazidi,Janice Mazidi,Rolin McKinlay"
373,373,Spss for the Macintosh: Operations Guide,,1990,
374,374,Component composition preserving behavioral contracts based on communication traces,"Arnaud Bailly,Mireille Clerbout,Isabelle Simplot-Ryl",2006,"Component composition preserving behavioral contracts based on communication tracesArnaud Bailly,Mireille Clerbout,Isabelle Simplot-Ryl"
375,375,Digital Video Hacks (O'Reilly's Hacks Series),Joshua Paul,2005,Digital Video Hacks (O'Reilly's Hacks Series)Joshua Paul
376,376,F1 Get the Most Out of Excel Formulas & Functions: The Ultimate Excel Formulas & Functions Help Guide,Joseph Rubin,2005,F1 Get the Most Out of Excel Formulas & Functions: The Ultimate Excel Formulas & Functions Help GuideJoseph Rubin
377,377,COMPUTATIONAL CHEMISTRY: Reviews of Current Trends,Jerzy Leszczynski,2006,COMPUTATIONAL CHEMISTRY: Reviews of Current TrendsJerzy Leszczynski
378,378,K-menu: a keyword-based dynamic menu interface for small computers,"Seung Eun Lee,Geehyuk Lee",2007,"K-menu: a keyword-based dynamic menu interface for small computersSeung Eun Lee,Geehyuk Lee"
379,379,An optimization-based approach for QoS routing in high-bandwidth networks,"Xiaojun Lin,Ness B. Shroff",2006,"An optimization-based approach for QoS routing in high-bandwidth networksXiaojun Lin,Ness B. Shroff"
380,380,Texture Fusion and Classification Based on Flexible Discriminant Analysis,A. H. S. Solberg,1996,Texture Fusion and Classification Based on Flexible Discriminant AnalysisA. H. S. Solberg
381,381,"Managing Without Walls: Maximize Success with Virtual, Global, and Cross-cultural Teams","Colleen Garton,Kevin Wegryn",2006,"Managing Without Walls: Maximize Success with Virtual, Global, and Cross-cultural TeamsColleen Garton,Kevin Wegryn"
382,382,Enterprise integration using the agent paradigm: foundations of multi-agent-based integrative business information systems,"Rajiv Kishore,Hong Zhang,R. Ramesh",2006,"Enterprise integration using the agent paradigm: foundations of multi-agent-based integrative business information systemsRajiv Kishore,Hong Zhang,R. Ramesh"
383,383,Calendar,Staff,2002,CalendarStaff
384,384,"Konstruieren von Pkw-Karosserien: Grundlagen, Elemente und Baugruppen, Vorschriftenübersicht, Beispiele mit CATIA V4 und V5 (VDI-Buch)","Jörg Grabner,Richard Nothhaft",2007,"Konstruieren von Pkw-Karosserien: Grundlagen, Elemente und Baugruppen, Vorschriftenübersicht, Beispiele mit CATIA V4 und V5 (VDI-Buch)Jörg Grabner,Richard Nothhaft"
385,385,"Discovery Science: 7th International Conference, DS 2004, Padova, Italy, October 2-5, 2004. Proceedings (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)","Einoshin Suzuki,Setsuo Arikawa",2004,"Discovery Science: 7th International Conference, DS 2004, Padova, Italy, October 2-5, 2004. Proceedings (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)Einoshin Suzuki,Setsuo Arikawa"
386,386,"Advanced Digital Logic Design Using VHDL, State Machines, and Synthesis for FPGA's",Sunggu Lee,2005,"Advanced Digital Logic Design Using VHDL, State Machines, and Synthesis for FPGA'sSunggu Lee"
387,387,Flash 5 (Guias Practicas),Claudio Hernandez,2005,Flash 5 (Guias Practicas)Claudio Hernandez
388,388,"Current Topics in Artificial Intelligence: 11th Conference of the Spanish Association for Artificial Intelligence, CAEPIA 2005, Santiago de Compostela, ... Papers (Lecture Notes in Computer Science)","Roque Marín,Eva Onaindía,Alberto Bugarín,José Santos",2006,"Current Topics in Artificial Intelligence: 11th Conference of the Spanish Association for Artificial Intelligence, CAEPIA 2005, Santiago de Compostela, ... Papers (Lecture Notes in Computer Science)Roque Marín,Eva Onaindía,Alberto Bugarín,José Santos"
389,389,Computers and Technology in a Changing Society (Text Only),"Deborah Morley,Charles Parker",2006,"Computers and Technology in a Changing Society (Text Only)Deborah Morley,Charles Parker"
390,390,VISSIM: a multi-parameter sensitivity analysis,"Nicholas E. Lownes,Randy B. Machemehl",2006,"VISSIM: a multi-parameter sensitivity analysisNicholas E. Lownes,Randy B. Machemehl"
391,391,Instructors Manual,Thomas Kissell,2001,Instructors ManualThomas Kissell
392,392,"Web Information Systems Engineering - WISE 2005: 6th International Conference on Web Information Systems Engineering, New York, NY, USA, November 20-22, ... (Lecture Notes in Computer Science)","Anne H. H. Ngu,Masaru Kitsuregawa,Erich Neuhold,Jen-Yao Chung,Quan Z. Sheng",2005,"Web Information Systems Engineering - WISE 2005: 6th International Conference on Web Information Systems Engineering, New York, NY, USA, November 20-22, ... (Lecture Notes in Computer Science)Anne H. H. Ngu,Masaru Kitsuregawa,Erich Neuhold,Jen-Yao Chung,Quan Z. Sheng"
393,393,Final Fantasy XII Signature Series Guide,,2006,
