index,title,author,year
285,Introduction to Computational Science: Modeling and Simulation for the Sciences,Angela B. Shiflet,2006
286,PCs in Easy Steps (In Easy Steps),Harshad Kotecha,2005
287,The Complete Guide to Flex 2 with ActionScript 3.0,Charles E. Brown,2007
288,Advanced Visual Basic.NET: Programming Web and Desktop Applications in ADO.NET and ASP.NET,"David Gefen,Chittibabu Govindarajulu",2003
289,Performance Evaluation of Packet Processing Architectures Using Multiclass Queuing Networks,"Soren Sonntag,Matthias Gries,Christian Sauer",2006
290,Authenticating mobile phone users using keystroke analysis,"N. L. Clarke,S. M. Furnell",2006
291,Introduction to SQL: Mastering the Relational Database Language (4th Edition),Rick F. van der Lans,2006
292,LabSim For A+ Core Hardware,,2005
293,Rise of Nations: Rise of Legends (Prima Official Game Guide),Michael Knight,2006
294,The iPod Book: Doing Cool Stuff with the iPod and the iTunes Music Store,Scott Kelby,2005
295,Hangin' With the Hombeez: Goldstinger (Hangin' with the Hombeez),"Dann Gershon,David Robinson",1999
296,Analysis of affect expressed through the evolving language of online communication,"Alena Neviarouskaya,Helmut Prendinger,Mitsuru Ishizuka",2007
297,Dragon Ball Z: The Legacy of Goku II (Prima's Official Strategy Guide),Eric Mylonas,2003
298,Module-based modeling of production-distribution systems considering shipment consolidation,"Xiaohua Wang,Soemon Takakuwa",2006
299,A New Scheme to Realize the Optimum Watermark Detection for the Additive Embedding Scheme with the Spatial Domain,"Takaaki Fujita,Maki Yoshida,Toru Fujiwara",2007
300,Dynamic HTML: The Definitive Reference (Dynamic Html),Danny Goodman,2006
301,Large triangles in the d-dimensional unit cube,Hanno Lefmann,2006
302,Linear work suffix array construction,"Juha Kärkkäinen,Peter Sanders,Stefan Burkhardt",2006
303,Battlefield 2142 (Prima Official Game Guide),David Knight,2006
304,Visual Basic Game Programming For Teens,Jonathan S. Harbour,2004
305,EXPINT---A MATLAB package for exponential integrators,"Håvard Berland,Bård Skaflestad,Will M. Wright",2007
306,The Complete Guide to Digital Imaging,Joel Lacey,2002
307,Federal Income Tax: An Interactive Transactional Approach,"Toni Robinson,Mary Ferrari",2006
308,Build Your Own Standards Compliant Website Using Dreamweaver 8 (Build Your Own),Rachel Andrew,2005
309,Game Console Hacking: Having Fun While Voiding Your Warranty,"Joe Grand,Albert Yarusso,Ralph H. Baer,Marcus R. Brown,Frank Thornton",2004
310,The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,Robert W. Harris,2007
311,Tall Order! Seven Master Strategies to Organize Your Life and Double Your Success in Half the Time,Honorée Corpron,2006
312,ActionScript 2.0 Language Reference for Macromedia Flash 8,"Francis Cheng,Jen deHaan,Robert L. Dixon,Shimul Rahim",2005
313,Macintosh System 7.5 for Dummies Quick Reference,Stuart J. Stuple,1994
314,Hacking iSeries,Shalom Carmel,2006
315,An Identity-Based Key Management Framework for Personal Networks,"Khaled Masmoudi,Hossam Afifi",2007
316,Applications in Macintosh (AIM),Alan L. Eliason,1994
317,"Entertainment Computing - ICEC 2005: 4th International Conference, Sanda, Japan, September 19-21, 2005, Proceedings (Lecture Notes in Computer Science)","Fumio Kishino,Yoshifumi Kitamura,Hirokazu Kato,Noriko Nagata",2005
318,Stochastic Analysis of Scale-Space Smoothing,"K. Astrom,A. Heyden",1996
319,Facility Planning,Jeffrey E. Clark,2007
320,"Data Communications and Network Security, 1 edition","Houston H. Carr,Charles Snyder",2006
321,"Virtual Worlds of Precision: Computer-based Simulations in the Sciences and Social Sciences Methods, Vol. 1 (Methoden)","Valerie Feldmann,Katrin Muhlfeld",2006
322,Object-Oriented Design with UML and Java,"Kenneth Barclay,John Savage",2003
323,Towards a New Evolutionary Computation: Advances on Estimation of Distribution Algorithms (Studies in Fuzziness and Soft Computing),"Jose A. Lozano,Pedro Larrañaga,Iñaki Inza,Endika Bengoetxea",2006
324,The AMA Handbook of Project Management,"Paul C. Dinsmore,Jeannette Cabanis-Brewin",2005
325,"A Guide To Web Development Using Macromedia Dreamweaver MX 2004: With Firework, Flash, and Coldfusion","Elaine Malfas,Beth Brown,Jan Marrelli",2005
326,High-Performance Energy-Efficient Microprocessor Design (Series on Integrated Circuits and Systems),"Vojin G. Oklobdzija,Ram K. Krishnamurthy",2006
327,I5/Os V5r4 Virtual Tape: A Guide to Planning And Implementation,,2006
328,Exploring Microsoft Office 2003 Enhanced Edition (Grauer Exploring Office 2003 Series),"Robert T. Grauer,Maryann Barber",2006
329,METRIC: Memory tracing via dynamic binary rewriting to identify cache inefficiencies,"Jaydeep Marathe,Frank Mueller,Tushar Mohan,Sally A. Mckee,Bronis R. De Supinski,Andy Yoo",2007
330,Accelerated VB 2005,"Guy Fouché,Trey Nash",2007
331,Exercise Workbook for Advanced Autocad 2006: 180-day Learning Bundle Edition,Cheryl R. Shrock,2006
332,Essential Renderman,Ian Stephenson,2007
333,Visual FoxPro 6 Guia Practica,Ramon M. Chorda,2005
334,Provision of agent-based health care services,"Antonio Moreno,David Isern,David Sánchez",2003
335,Silver Surfers' Color Guide to the Internet,Helen Brookes,2006
336,Computational systems biology: keynote I: software in systems biology,,2006
337,Master Ms Word 4.0,Pamela S. Beason,1989
338,"Connected, or What It Means to Live in the Network Society",Steven Shaviro,2003
339,"Implementing Database Security and Auditing: Includes Examples for Oracle, SQL Server, DB2 UDB, Sybase",Ron Ben Natan,2005
340,Macintosh Fx: Tools and Techniques for Outrageous Graphic Effects,David D. Busch,1994
341,Index It Right!: Advice from the Experts,Enid L. Zafran,2005
342,"Optimization in Public Transportation: Stop Location, Delay Management and Tariff Zone Design in a Public Transportation Network (Springer Optimization and Its Applications)",Anita Schöbel,2006
343,The CodeFez Guide to SQL Server Reporting Services,Mike Welch,2005
344,PowerPoint 2003: Top 100 Simplified Tips & Tricks (Top 100 Simplified Tips & Tricks),Nancy Buchanan,2005
345,Finite horizon analysis of Markov Chains with the Mur&#x03d5; verifier,"Giuseppe Della Penna,Benedetto Intrigila,Igor Melatti,Enrico Tronci,Marisa Venturini Zilli",2006
346,Sequence-driven features for prediction of subcellular localization of proteins,"Jong Kyoung Kim,Sung-Yang Bang,Seungjin Choi",2006
347,Calendar,Staff,2001
348,Access 2003 Personal Trainer (Personal Trainer (O'Reilly)),,2005
349,Modeling centralized organization of organizational change,"Mark Hoogendoorn,Catholijn M. Jonker,Martijn C. Schut,Jan Treur",2007
350,Macromedia Director 5 VTC Training CD,,1996
351,PHP-Nuke - Mastering Internet Content Management: From Start to Optimised Use - With a Complete and Quick Reference of Internal Functions,Jens Ferner,2006
352,Learning MySQL,"Seyed M. M. Tahaghoghi,Hugh Williams",2006
353,Best Career And Education Web Sites: A Quick Guide to Online Job Search (Best Career & Education Websites),Anne Wolfinger,2006
354,And Your Point Is?,J. Douglas Jefferys,2006
355,ONCOR: ontology- and evidence-based context reasoner,"Judy Kay,William T. Niu,David J. Carmichael",2007
356,Path-based control of smoke simulations,"Yootai Kim,Raghu Machiraju,David Thompson",2006
357,Interoperability of Enterprise Software and Applications,"Dimitri Konstantas,Jean-Paul Bourrières,Michel Léonard,Nacer Boudjlida",2005
358,"CourseGuide: Microsoft Office Word 2003 Illustrated, INTERMEDIATE","Jennifer Duffy,Carol M. Cram",2004
359,"High-Speed Networks and Multimedia Communications: 6th IEEE International Conference HSNMC 2003, Estoril, Portugal, July 23-25, 2003, Proceedings (Lecture Notes in Computer Science)","Mário Marques Freire,Pascal Lorenz,Mike Myung-Ok Lee",2003
360,Superpad 64 Gold,,2000
361,Mega Man ZX Official Strategy Guide (Official Strategy Guides (Bradygames)),,2006
362,Let Us C Solutions,Yashavant P. Kanetkar,2004
363,Breath of Fire: Dragon Quarter Official Strategy Guide,Casey Loe,2003
364,Editorial board and publication information,,2006
365,"VLSI-SOC: From Systems to Chips: IFIP TC 10/WG 10.5, Twelfth International Conference on Very Large Scale Ingegration of System on Chip (VLSI-SoC 2003), ... Federation for Information Processing)","Manfred Glesner,Ricardo Reis,Leandro Indrusiak,Vincent Mooney,Hans Eveking",2006
366,Duke Nukem Zero Hour: Official Strategy Guide,"Duke Nukem,Phillip Marcus",1999
367,Excel 2007 Data Analysis For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,2007
368,The Washingtonienne: A Novel,Jessica Cutler,2006
369,Microsoft Office v.X Macintosh BASICS (Basics),"Laura Melton,Dawna Walls",2002
370,Pro Tools 101 Official Courseware,,2006
371,Migrating to Websphere Message Broker Version 6.0,,2006
372,"8051 Microcontroller and Embedded Systems, The (2nd Edition)","Muhammad Ali Mazidi,Janice Mazidi,Rolin McKinlay",2005
373,Spss for the Macintosh: Operations Guide,,1990
374,Component composition preserving behavioral contracts based on communication traces,"Arnaud Bailly,Mireille Clerbout,Isabelle Simplot-Ryl",2006
375,Digital Video Hacks (O'Reilly's Hacks Series),Joshua Paul,2005
376,F1 Get the Most Out of Excel Formulas & Functions: The Ultimate Excel Formulas & Functions Help Guide,Joseph Rubin,2005
377,COMPUTATIONAL CHEMISTRY: Reviews of Current Trends,Jerzy Leszczynski,2006
378,K-menu: a keyword-based dynamic menu interface for small computers,"Seung Eun Lee,Geehyuk Lee",2007
379,An optimization-based approach for QoS routing in high-bandwidth networks,"Xiaojun Lin,Ness B. Shroff",2006
380,Texture Fusion and Classification Based on Flexible Discriminant Analysis,A. H. S. Solberg,1996
381,"Managing Without Walls: Maximize Success with Virtual, Global, and Cross-cultural Teams","Colleen Garton,Kevin Wegryn",2006
382,Enterprise integration using the agent paradigm: foundations of multi-agent-based integrative business information systems,"Rajiv Kishore,Hong Zhang,R. Ramesh",2006
383,Calendar,Staff,2002
384,"Konstruieren von Pkw-Karosserien: Grundlagen, Elemente und Baugruppen, Vorschriftenübersicht, Beispiele mit CATIA V4 und V5 (VDI-Buch)","Jörg Grabner,Richard Nothhaft",2007
385,"Discovery Science: 7th International Conference, DS 2004, Padova, Italy, October 2-5, 2004. Proceedings (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)","Einoshin Suzuki,Setsuo Arikawa",2004
386,"Advanced Digital Logic Design Using VHDL, State Machines, and Synthesis for FPGA's",Sunggu Lee,2005
387,Flash 5 (Guias Practicas),Claudio Hernandez,2005
388,"Current Topics in Artificial Intelligence: 11th Conference of the Spanish Association for Artificial Intelligence, CAEPIA 2005, Santiago de Compostela, ... Papers (Lecture Notes in Computer Science)","Roque Marín,Eva Onaindía,Alberto Bugarín,José Santos",2006
389,Computers and Technology in a Changing Society (Text Only),"Deborah Morley,Charles Parker",2006
390,VISSIM: a multi-parameter sensitivity analysis,"Nicholas E. Lownes,Randy B. Machemehl",2006
391,Instructors Manual,Thomas Kissell,2001
392,"Web Information Systems Engineering - WISE 2005: 6th International Conference on Web Information Systems Engineering, New York, NY, USA, November 20-22, ... (Lecture Notes in Computer Science)","Anne H. H. Ngu,Masaru Kitsuregawa,Erich Neuhold,Jen-Yao Chung,Quan Z. Sheng",2005
393,Final Fantasy XII Signature Series Guide,,2006
394,Mobile and Wireless Communications,"Gordon A. Gow,Richard K. Smith",2006
395,"Microsoft Works 3, Macintosh (Visual QuickStart Guide)",David Webster,1993
396,Macworld Ref: Pagemaker (Macworld Ref Series),Jim Heid,1993
397,Hacking del.icio.us (ExtremeTech),Leslie M. Orchard,2006
398,The Reference Collection: From The Shelf to The Web,William J. Frost,2006
399,Language model information retrieval with document expansion,"Tao Tao,Xuanhui Wang,Qiaozhu Mei,ChengXiang Zhai",2006
400,Microsoft Office Access 2007 On Demand,Steve Johnson,2006
401,"Exploring Office XP Enhanced Edition, Vol. 2","Robert T. Grauer,Maryann Barber,Maryann T. Barber",2003
402,Experiences of high school students conducting term paper research using filtered Internet access -- Dissertation,Lynn Sorensen Sutton,2006
403,Jak X: Combat Racing (with DVD) (Prima Official Game Guide),"David Hodgson,Stephen Stratton",2005
404,Sams Teach Yourself Windows XP All in One (2nd Edition) (Sams Teach Yourself),Greg Perry,2004
405,Word 2003 Visual Basic Programming,John Low,2005
406,Energy-efficient wireless sensor network design and implementation for condition-based maintenance,"Ankit Tiwari,Prasanna Ballal,Frank L. Lewis",2007
407,Observed structure of addresses in IP traffic,"Eddie Kohler,Jinyang Li,Vern Paxson,Scott Shenker",2006
408,Computer Evidence,L. T. Christopher,2006
409,The Art of Quicktime: Making Movies With Your Macintosh/Book and Disk,James B. Howland,1993
410,A MANET simulation tool to study algorithms for generating propagation maps,"Scott L. Rosen,John A. Stine,William J. Weiland",2006
411,The Getaway: Black Monday (Prima Official Game Guide),,2005
412,"Broadcasting, Cable, the Internet and Beyond: An Introduction to Electronic Media","Joseph R. Dominick,Barry L. Sherman,Fritz J. Messere",2007
413,Microsoft Word 2003 Essentials - Advanced on DVD-ROM,Tom Murray,2005
414,Active EM to reduce noise in activity recognition,"Jianqiang Shen,Thomas G. Dietterich",2007
415,SAS/ACCESS 9.1 Interface To Peoplesoft: User's Guide,,2004
416,"C. Algoritmos, Programacion y Estructura de Datos",Luis Joyanes Aguilar,2006
417,"Comparative Evaluation of Multilingual Information Access Systems: 4th Workshop of the Cross-Language Evaluation Forum, CLEF 2003, Trondheim, Norway, August ... Papers (Lecture Notes in Computer Science)","Carol Peters,Julio Gonzalo,Martin Braschler,Michael Kluck",2005
418,Exploring 3d Animation With 3ds Max 8,Steven Till,2007
419,"Early aspects, models and design",,2007
420,Discrete-Event Simulation: A First Course,"Lawrence M. Leemis,Stephen K. Park",2005
421,Cambridge Checkpoints VCE IT Applications 2007 (Cambridge Checkpoints),Colin Potts,2007
422,Human Aspects of Software Engineering,"James E. Tomakyo,Orit Hazaan",2005
423,DBMS Complete Practical Approach,Sharad Maheshwari,2006
424,Perspectives on Free and Open Source Software,"Joseph Feller,Brian Fitzgerald,Scott A. Hissam,Karim R. Lakhani",2007
425,The Synchronized Production System: Going Beyond Just-In-Time Through Kaizen,Hitoshi Takeda,2006
426,Subdivision schemes,,2004
427,Illustrator CS2 for Windows & Macintosh (Visual QuickStart Guide),"Elaine Weinmann,Peter Lourekas",2005
428,"Essentials for Design: Adobe Illustrator CS2, Level 1- W/CD",Dean Bagley,2006
429,Analysis methodology a: selection procedures II,,2006
430,Performance engineering for EA systems in next generation data centresPerformance engineering for EA systems in next generation data centres,"Jerome Rolia,Ludmila Cherkasova,Richard Friedrich",2007
431,Product Lifecycle Management: Ein Leitfaden für Product Development und Life Cycle Management,"Martin Eigner,Ralph Stelzer",2006
432,"Wireless Sensor Networks: Technology, Protocols, and Applications","Kazem Sohraby,Daniel Minoli,Taieb Znati",2007
433,Microstation V8 for Autocad Users,Jeanne Aarhus,2006
434,Voice over IP Fundamentals (2nd Edition) (Fundamentals),"Jonathan Davidson,James Peters,Manoj Bhatia,Satish Kalidindi,Sudipto Mukherjee",2006
435,Microsoft Windows Vista Illustrated Essentials,Steve Johnson,2007
436,Practical Business Intelligence with SQL Server 2005 (Microsoft Windows Server System Series),"John C. Hancock,Roger Toren",2006
437,Device drivers,,2006
438,"Machinations (Ultima: The Technocrat War, Book 1)",Austen Andrews,2001
439,Planning Using Primavera SureTrak Project Manager Version 3.0: With Updated Workshop,Paul E. Harris,2005
440,Re-parameterisation technique in algebraic numerical grid generation via subdivision schemes,"C. Conti,R. Morandi",2004
441,A Holistic Approach to a Reliable Infrastructure for Sap R/3 on Aix,,2003
442,Adobe Acrobat 8 Classroom in a Book,,2007
443,Crazy Colour Card for Microsoft Word,Scott Spence,2002
444,Illustrating with Micromedia Flash MX 2004,Robert Firebaugh,2005
445,Data Structures Using C Lab Workbook,R. Y. Shukla,2003
446,Fabrication of a polymeric tapered HARMs array utilizing a low-cost nickel electroplated mold insert,"In-Hyouk Song,Yoonyoung Jin,Pratul K. Ajmera",2006
447,Multiuser interior design over the internet,"Yen-Chun Lin,Chen-Chuan Pan,Jhih-En Kuo",2006
448,Splinter Cell: Double Agent (Prima Official Game Guide),Dan Birlew,2006
449,The Heinle & Heinle Toefl: English Test Preparation Software : Macintosh Individual Version,Larry Statan,1999
450,Coreldraw 12 (Guias Practicas),Dario Pescador,2005
451,Windows Server 2003 MCSE Exam 70-290 Video Training - on DVD-ROM,Darril R. Gibson,2005
452,A fast finite-state relaxation method for enforcing global constraints on sequence decoding,"Roy W. Tromble,Jason Eisner",2006
453,The Choice Guide to Web Writing That Works,"R. Lowe,Anthony Reilly",2006
454,Word 2002 Microsoft Office Specialist Level 2 with CD (Level 2),Cindy Caldwell,2003
455,"Oracle Performance Tuning for 10gR2, Second Edition",Gavin J. T. Powell,2006
456,Security,,2007
457,Efficient Computation of a Reflection Symmetry Measure for Convex Polygons Based on Minkowski Addition,"A. V. Tuzikov,G. L. Margolin,H. J. A. M. Heijmans",1996
458,Thompson Engineering Guide to Web Research,,2006
459,Guest Editorial: Special Issue on Bioinformatics,"Sushmita Mitra,Witold Pedrycz",2006
460,Microsoft Word 2003,Joao Batista De Jesus,2004
461,Oxford School Atlas,Patrick Wiegand,2006
462,Easy PC Security and Safety,R. A. Penfold,2004
463,The Magic of Digital Close-Up Photography (A Lark Photography Book),Joseph R. Meehan,2006
464,Diseno Animado Interactivo En 3d/3d Interactive Animated Design (Diseno Y Creatividad),Jean-Marc Gauthier,2006
465,Brilliant Excel 2003,Steve Johnson,2005
466,Blackberry Hacks,Dave Mabe,2005
467,Disaster Report,Demian Linn,2003
468,Current Issues And Trends in E-government Research (Advances in Electronic Government Research),Donald Norris,2006
469,Extending WHIRL with background knowledge for improved text classification,"Sarah Zelikovitz,William W. Cohen,Haym Hirsh",2007
470,3ds Max 5 (La Biblia De),Kelly L. Murdock,2005
471,Multi-user Synchronisation in ad hoc OFDM-based Wireless Personal Area Networks,"Víctor P. Jiménez,Ana García Armada",2007
472,Teach Yourself VISUALLY Excel 2003 (Visual Read Less -- Learn More),Sherry Willard Kinkoph,2005
473,High-Performance Training of Conditional Random Fields for Large-Scale Applications of Labeling Sequence Data,"Xuan-Hieu Phan,Le-Minh Nguyen,Yasushi Inoguchi,Susumu Horiguchi",2007
474,"The Ultimate Code Book, 2000 Edition - Revised & Expanded for TRU (Prima Games)",,2000
475,Oracle 10g Programming: A Primer,Rajshekhar Sunderraman,2007
476,Advanced Technology in the Pacific Northwest 2004-2005,,2004
477,An approach to ontology-aided performance engineering through NFR framework,"Pere P. Sancho,Carlos Juiz,Ramon Puigjaner,Lawrence Chung,Nary Subramanian",2007
478,"The Lawyer's Guide to Fact Finding on the Internet, Third Edition","Carole Levitt,Mark E. Rosch",2007
479,Urban and Regional Technology Planning: Planning Practice in the Global Knowledge Economy,"Kenneth E. Corey,Mark Wilson",2006
480,"Human Interaction with Machines: Proceedings of the 6th International Workshop held at the Shanghai JiaoTong University, March 15-16, 2005","G. Hommel,S. Huanye",2006
481,Enhancing business process management with simulation optimization,"Jay April,Marco Better,Fred Glover,James Kelly,Manuel Laguna",2006
482,The Gadget Geek's Guide to Your Sony PlayStation Portable (The Gadget Geek's Guides),Jerri L. Ledford,2006
483,Fun and Games on Your PC,"Andy Ashdown,Adele A. Hayward",2001
484,Clinical Decision Support: The Road Ahead,Robert A. Greenes,2006
485,Digital Multimedia Perception and Design,"Georghita Ghinea,Sherry Y. Chen",2006
486,Fighting for Time: Shifting Boundaries of Work and Social Life,"Cynthia F. Epstein,A. L. Kalleberg",2006
487,"Paying with Plastic, 2nd Edition: The Digital Revolution in Buying and Borrowing","David S. Evans,Richard Schmalensee",2005
488,A Comprehensive Guide to Digital Black & White Photography (Digital Photography),John Clements,2005
489,Condemned: Criminal Origins (Prima Official Game Guide),,2005
490,IBM Bladecenter 4gb San Solution,,2006
491,2007/8 Guide to Association Web Sites: For Recruiters and Job Seekers (Weddle's Guide to Association Web Sites: For Recruiters & Job Seeker),Peter Weddle,2006
492,Vectorized image segmentation via trixel agglomeration,"Lakshman Prasad,Alexei N. Skourikhine",2006
493,Finding FUN in FUsioN-XXIII,,2006
494,Observations on determinization of Büchi automata,"Christoph Schulte Althoff,Wolfgang Thomas,Nico Wallmeier",2006
495,"Machine Learning: ECML 2005: 16th European Conference on Machine Learning, Porto, Portugal, October 3-7, 2005, Proceedings (Lecture Notes in Computer Science ... / Lecture Notes in Artificial Intelligence)","Joäo Gama,Rui Camacho,Pavel Brazdil,Alípio Jorge,Luís Torgo",2005
496,Incorporating speaker and discourse features into speech summarization,"Gabriel Murray,Steve Renals,Jean Carletta,Johanna Moore",2006
497,Data representations and generalization error in kernel based learning machines,"Nicola Ancona,Rosalia Maglietta,Ettore Stella",2006
498,OCP: Oracle 10g Administration II Study Guide: Exam 1Z0-043,"Doug Stuns,Tim Buterbaugh,Bob Bryla",2005
499,Student de-charter notice,,2007
500,Exposure and Lighting for Digital Photographers Only,"Michael Meadhra,Charlotte K. Lowrie",2006
501,Photoshop Cs2. Avanzado,Ben Willmore,2006
502,Bias correction of cross-validation criterion based on Kullback-Leibler information under a general condition,"Hirokazu Yanagihara,Tetsuji Tonda,Chieko Matsumoto",2006
503,Two's-complement multiplication,A. E. Sheue,1979
504,Lightweight natural language text compression,"Nieves R. Brisaboa,Antonio Fariña,Gonzalo Navarro,José R. Paramá",2007
505,Modeling tuberculosis in areas of high HIV prevalence,"Georgina R. Hughes,Christine S. M. Currie,Elizabeth L. Corbett",2006
506,"Innovative Approaches for Learning and Knowledge Sharing: First European Conference on Technology Enhanced Learning, EC-TEL 2006, Crete, Greece, October ... (Lecture Notes in Computer Science)","Wolfgang Nejdl,Klaus Tochtermann",2006
507,Network Security and Ethical Hacking,Rajat Khare,2006
508,Outlook 2003 in Easy Steps (In Easy Steps S.),Michael Price,2004
509,Mechassault 2: Lone Wolf (Prima Official Game Guide),Matt Wales,2005
510,Dictionary of Information Science And Technology,Mehdi Khosrowpour,2006
511,AGScan: a pluggable microarray image quantification software based on the ImageJ library,"R. Cathelin,F. Lopez,Ch. Klopp",2007
512,"ILT Series Microsoft Office Excel 2003, Basic w/ 2 CDs",,2006
513,Ableton Live 5 Tips and Tricks,Martin DeLaney,2006
514,"Intelligent Computing in Engineering and Architecture: 13th EG-ICE Workshop 2006, Ascona, Switzerland, June 25-30, 2006, Revised Selected Papers (Lecture Notes in Computer Science)",Ian F. C. Smith,2006
515,Editorial: Similarity-based pattern recognition,"Manuele Bicego,Vittorio Murino,Marcello Pelillo,Andrea Torsello",2006
516,Windows XP Step-By-Step,"Leslie Hardin,Deborah Tice",2003
517,"Medications - A Medical Dictionary, Bibliography, and Annotated Research Guide to Internet References",,2006
518,"Information Security Management Handbook on CD-ROM, 2006 Edition","Harold F. Tipton,Micki Krause",2006
519,"Topics in Cryptology -- CT-RSA 2006: The Cryptographers' Track at the RSA Conference 2006, San Jose, CA, USA, February 13-17, 2005, Proceedings (Lecture Notes in Computer Science)",David Pointcheval,2006
520,Tomb Raider: The Last Revelation (UK) (Prima's Official Strategy Guide),,1999
521,"Beyond Cut, Copy and Paste: Dig Deeper into the World of Microsoft Word, Excel and Powerpoint",Henry Balogun,2003
522,Emerging Wireless Multimedia: Services and Technologies,"Apostolis Salkintzis,Nikos Passas",2005
523,Software performance in the real world: personal lessons from the performance trauma team,"Jayshankar Sankarasetty,Kevin Mobley,Libby Foster,Tad Hammer,Terri Calderone",2007
524,Grey-level hit-or-miss transforms-Part I: Unified theory,"Benoít Naegel,Nicolas Passat,Christian Ronse",2007
525,Toward HW/SW integration: a networked embedded system course in Taiwan,"Chi-Sheng Shih,Shiao-Li Tsao,Yeh-Ching Chung,Shyh-In Hwang",2007
526,"Massively Multiplayer Online Role-Playing Games: The People, the Addiction and the Playing Experience",Richard V. Kelly,2004
527,Planning For The Fiber Distributed Data Interface,William E. Burr,2004
528,Human bodies,Irfan Essa,2003
529,Assessment of transport infrastructure projects by the use of Monte Carlo simulation: the CBA-DK model,"Kim Bang Salling,Steen Leleur",2006
530,Unique Resources for Food and Nutrition: Guide to Good Food Recipe Multimedia Cd,"Deborah L. Bence,Velda L. Largen",2000
531,Microsoft Office OneNote 2003: Introductory Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Philip J. Pratt,Mary Z. Last",2004
532,"Pcs for Dummies (Thorndike Health, Home & Learning)",Dan Gookin,2006
533,"PMP: Project Management Professional Study Guide, Deluxe Edition","Kim Heldman,Patti M. Jansen,Claudia M. Baca",2005
534,Rapid and Brief Communication: GACV: Geodesic-Aided C-V method,"Li Chen,Yue Zhou,Yonggang Wang,Jie Yang",2006
535,"Parallel Processing and Applied Mathematics: 6th International Conference, PPAM 2005Poznan, Poland, September 11-14, 2005 Revised Selected Papers (Lecture Notes in Computer Science)","Roman Wyrzykowski,Jack Dongarra,Norbert Meyer,Jerzy Wasniewski",2006
536,Easy Office 2003,Nancy Lewis,2003
537,Marketing Research: The Impact of the Internet,,2006
538,The Lord of the Rings: The Battle for Middle-earth II (Xbox 360) (Prima Official Game Guide),Eric Mylonas,2006
539,Pac-Man World(tm) 3 Official Strategy Guide (Official Strategy Guides (Bradygames)),,2005
540,Directory of Special Libraries and Information Centers: Geographic and Personnel Index (Directory of Special Libraries and Information Centers Vol 2),,2004
541,Labview(TM) 7.0 Express Student Edition with 7.1 Update,Robert Bishop,2005
542,"Subject Retrieval in a Networked World: Proceedings of the Ifla Satellite Meeting Held in Dublin, Oh, 14-16 August 2001 and Sponsored by the Ifla Classification ... the (Ubcim Publications New Series Vol 25)",I. C. McLlwaine,2003
543,Milady's Standard Comprehension Training for Estheticians Workbook,,2006
544,Learning Series (DDC): Learning Microsoft Office Publisher 2003 (DDC Learning),Faithe Wempen,2004
545,Project Management,"Samuel E. Portny,Samuel J. Mantel, Jr.,Jack R. Meredith,Scott M. Shafer,Margaret M. Sutton,Brian E. Kramer",2007
546,Game Programming for Teens (Game Programming),Maneesh Sethi,2003
547,Storybook Weaver: MacIntosh/Book and Disk/Hmc 21835,,1989
548,Maran Illustrated Sudoku (Maran Illustrated),Ruth Maran,2006
549,Why Relevant Features May Be Unuseful in Statistical Recognition of Two Classes,L. S. Fainzilberg,1996
550,Adobe Premiere Pro for Dummies,Keith Underdahl,2003
551,"Refinement Techniques in Software Engineering: First Pernambuco Summer School on Software Engineering, PSSE 2004Recife, Brazil, November 23-December 5, ... Lectures (Lecture Notes in Computer Science)","Ana Cavalcanti,Augusto Sampaio,Jim Woodcock",2006
552,Microsoft Office for Teachers (2nd Edition),"Patricia J. Fewell,William J. Gibbs",2005
553,A UML profile for dependability analysis of real-time embedded systems,"Simona Bernardi,José Merseguer",2007
554,Microsoft Project 2002 and 2003 (Microsoft Official Academic Course),,2004
555,The Debian System: Concepts and Techniques,Martin F Krafft,2005
556,User Interfaces in the Real World,"Jenny Preece,Jonathan Lazar",2007
557,After Effects 5 (Diseno Y Creatividad),,2005
558,Quick Start Publishing Music Online (Quick Start (Music Sales)),Paul Donnelley,2003
559,"Ant Colony Optimization and Swarm Intelligence: 5th International Workshop, ANTS 2006, Brussels, Belgium, September 4-7, 2006, Proceedings (Lecture Notes in Computer Science)","Marco Dorigo,Luca Maria Gambardella,Mauro Birattari,Alcherio Martinoli,Riccardo Poli,Thomas Stützle",2006
560,Analysing User Needs And Early Design,Martin Maguire,2006
561,Directory of Special Libraries and Information Centers (Directory of Special Libraries and Information Centers Vol 1),,2004
562,Create Electronic Presentations Powerpoint 2003,"Cheryl Price,Julia Wix",2004
563,Introductory Korn Shell Programming,Ryan T. Putnam,2005
564,Lemony Snicket's A Series of Unfortunate Events Official Strategy Guide,Dan Birlew,2004
565,Windows Admin Scripting (Little Black Books (Paraglyph Press)),Jesse M. Torres,2006
566,PSpice for Linear Circuits (uses PSpice version 10),James A. Svoboda,2007
567,"A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and Shape","Daniel Cremers,Mikael Rousson,Rachid Deriche",2007
568,"Peachtree Complete 2006, Release 13.0 CD-ROM (Stand Alone)",Carol Yacht,2006
